seed,p_open,alpha,cost_root_action,regret_root_action,root_action_disagree,behavior_disagree,behavior_disagreement_world_fraction,behavior_disagreement_prior_mass,cost_mean_cost,cost_mean_regret,cost_cvar95_regret,cost_worst_regret,cost_worst_cost,regret_mean_cost,regret_mean_regret,regret_cvar95_regret,regret_worst_regret,regret_worst_cost,delta_mean_cost_regret_minus_cost,delta_mean_regret_regret_minus_cost,delta_cvar95_regret_regret_minus_cost,delta_worst_regret_regret_minus_cost,delta_worst_cost_regret_minus_cost
3,0.1,0.9,g,g,0,0,0.0,0.0,30.0,13.332980374780849,27.43286024486371,27.43286024486371,30.0,30.0,13.332980374780849,27.43286024486371,27.43286024486371,30.0,0.0,0.0,0.0,0.0,0.0
3,0.3,0.25,u7,u3,1,1,1.0,1.0000000000000004,24.56256634620274,18.728039718535765,30.1547210001958,30.1547210001958,32.72186075533209,20.053432865149365,14.218906237482392,32.35268512260024,32.35268512260024,34.91982487773653,-4.509133481053375,-4.509133481053373,2.197964122404443,2.197964122404443,2.197964122404443
3,0.3,0.5,g,g,0,0,0.0,0.0,30.000000000000004,24.16547337233303,27.43286024486371,27.43286024486371,30.0,30.000000000000004,24.16547337233303,27.43286024486371,27.43286024486371,30.0,0.0,0.0,0.0,0.0,0.0
3,0.3,0.75,g,g,0,0,0.0,0.0,30.000000000000004,24.16547337233303,27.43286024486371,27.43286024486371,30.0,30.000000000000004,24.16547337233303,27.43286024486371,27.43286024486371,30.0,0.0,0.0,0.0,0.0,0.0
3,0.3,0.9,g,g,0,0,0.0,0.0,30.000000000000004,24.16547337233303,27.43286024486371,27.43286024486371,30.0,30.000000000000004,24.16547337233303,27.43286024486371,27.43286024486371,30.0,0.0,0.0,0.0,0.0,0.0
3,0.5,0.25,u1,u0,1,1,1.0,1.0000000000000002,12.21357142675478,8.638351987420798,32.39803925964792,32.39803925964792,34.96517901478421,11.730449872546338,8.155230433212354,30.350800571466706,30.350800571466706,34.78309366345607,-0.48312155420844327,-0.48312155420844327,-2.047238688181217,-2.047238688181217,-0.18208535132814063
3,0.5,0.5,g,g,0,0,0.0,0.0,30.0,26.424780560666015,27.43286024486371,27.43286024486371,30.0,30.0,26.424780560666015,27.43286024486371,27.43286024486371,30.0,0.0,0.0,0.0,0.0,0.0
3,0.5,0.75,g,g,0,0,0.0,0.0,30.0,26.424780560666015,27.43286024486371,27.43286024486371,30.0,30.0,26.424780560666015,27.43286024486371,27.43286024486371,30.0,0.0,0.0,0.0,0.0,0.0
3,0.5,0.9,g,g,0,0,0.0,0.0,30.0,26.424780560666015,27.43286024486371,27.43286024486371,30.0,30.0,26.424780560666015,27.43286024486371,27.43286024486371,30.0,0.0,0.0,0.0,0.0,0.0
3,0.7,0.25,u0,u0,0,0,0.0,0.0,6.333204636111981,3.3548317926853413,30.350800571466706,30.350800571466706,34.78309366345607,6.333204636111981,3.3548317926853413,30.350800571466706,30.350800571466706,34.78309366345607,0.0,0.0,0.0,0.0,0.0
3,0.7,0.5,u1,u0,1,1,1.0,0.9999999999999999,7.067086358199748,4.088713514773108,32.39803925964792,32.39803925964792,34.96517901478421,6.333204636111981,3.3548317926853413,30.350800571466706,30.350800571466706,34.78309366345607,-0.7338817220877667,-0.7338817220877667,-2.047238688181217,-2.047238688181217,-0.18208535132814063
3,0.7,0.75,g,g,0,0,0.0,0.0,30.0,27.02162715657336,27.43286024486371,27.43286024486371,30.0,30.0,27.02162715657336,27.43286024486371,27.43286024486371,30.0,0.0,0.0,0.0,0.0,0.0
3,0.7,0.9,g,g,0,0,0.0,0.0,30.0,27.02162715657336,27.43286024486371,27.43286024486371,30.0,30.0,27.02162715657336,27.43286024486371,27.43286024486371,30.0,0.0,0.0,0.0,0.0,0.0
3,0.9,0.25,u0,u0,0,0,0.0,0.0,3.2835054734747153,0.5950681062800591,8.82902026349184,30.350800571466706,34.78309366345607,3.2835054734747153,0.5950681062800591,8.82902026349184,30.350800571466706,34.78309366345607,0.0,0.0,0.0,0.0,0.0
3,0.9,0.5,u0,u0,0,0,0.0,0.0,3.2835054734747153,0.5950681062800591,8.82902026349184,30.350800571466706,34.78309366345607,3.2835054734747153,0.5950681062800591,8.82902026349184,30.350800571466706,34.78309366345607,0.0,0.0,0.0,0.0,0.0
3,0.9,0.75,u1,u1,0,0,0.0,0.0,4.305864604667561,1.6174272374729048,11.539253727022954,32.921935892575576,35.489075647711864,4.305864604667561,1.6174272374729048,11.539253727022954,32.921935892575576,35.489075647711864,0.0,0.0,0.0,0.0,0.0
3,0.9,0.9,u7,u7,0,0,0.0,0.0,8.408349250007829,5.719911882813172,8.85637589741409,32.35268512260024,34.91982487773653,8.408349250007829,5.719911882813172,8.85637589741409,32.35268512260024,34.91982487773653,0.0,0.0,0.0,0.0,0.0
4,0.1,0.25,g,u2,1,1,1.0,1.0000000000000004,30.000000000000004,12.968653592744412,26.732038056328857,26.732038056328857,30.0,28.315609617813788,11.284263210558196,31.00295709178295,31.00295709178295,34.27091903545409,-1.6843903821862156,-1.6843903821862156,4.270919035454092,4.270919035454092,4.270919035454092
4,0.1,0.5,g,u2,1,1,1.0,1.0000000000000004,30.000000000000004,12.968653592744412,26.732038056328857,26.732038056328857,30.0,28.315609617813788,11.284263210558196,31.00295709178295,31.00295709178295,34.27091903545409,-1.6843903821862156,-1.6843903821862156,4.270919035454092,4.270919035454092,4.270919035454092
4,0.1,0.75,g,g,0,0,0.0,0.0,30.000000000000004,12.968653592744412,26.732038056328857,26.732038056328857,30.0,30.000000000000004,12.968653592744412,26.732038056328857,26.732038056328857,30.0,0.0,0.0,0.0,0.0,0.0
4,0.1,0.9,g,g,0,0,0.0,0.0,30.000000000000004,12.968653592744412,26.732038056328857,26.732038056328857,30.0,30.000000000000004,12.968653592744412,26.732038056328857,26.732038056328857,30.0,0.0,0.0,0.0,0.0,0.0
4,0.3,0.25,u6,u6,0,0,0.0,0.0,23.993306452564937,18.176435494174893,29.175908628851662,29.175908628851662,32.443870572522805,23.993306452564937,18.176435494174893,29.175908628851662,29.175908628851662,32.443870572522805,0.0,0.0,0.0,0.0,0.0
