family,seed,method,root_action,optimization_objective,mean_cost,mean_regret,cvar95_regret,worst_regret,worst_cost,satisfaction_all_worlds,worlds
random_hub_m8,6,Expected cost / regret,u0,17.37343265541332,17.37343265541332,11.4590894578765,29.394617504282827,29.394617504282827,35.224156239522664,1,256
random_hub_m8,6,Dynamic CVaR cost a=0.5,g,30.0,30.0,24.085656802463177,27.43585159279535,27.43585159279535,30.0,1,256
random_hub_m8,6,Proposed dynamic CVaR regret a=0.5,g,26.937690490367473,30.0,24.085656802463177,27.43585159279535,27.43585159279535,30.0,1,256
random_hub_m8,7,Worst absolute cost,g,30.0,30.0,24.19702448571446,27.296760028055015,27.296760028055015,30.0,1,256
random_hub_m8,7,Minimax regret,g,27.29676002805502,30.0,24.19702448571446,27.296760028055015,27.296760028055015,30.0,1,256
random_hub_m8,7,Expected cost / regret,u0,19.18421706845759,19.18421706845759,13.381241554172048,31.96417354180231,31.96417354180231,34.78390820164357,1,256
random_hub_m8,7,Dynamic CVaR cost a=0.5,g,30.0,30.0,24.19702448571446,27.296760028055015,27.296760028055015,30.0,1,256
random_hub_m8,7,Proposed dynamic CVaR regret a=0.5,g,27.167178198415264,30.0,24.19702448571446,27.296760028055015,27.296760028055015,30.0,1,256
random_hub_m8,8,Worst absolute cost,g,30.0,30.0,24.270501856544723,26.696987853119634,26.696987853119634,30.0,1,256
random_hub_m8,8,Minimax regret,g,26.696987853119637,30.0,24.270501856544723,26.696987853119634,26.696987853119634,30.0,1,256
random_hub_m8,8,Expected cost / regret,u1,16.918686877082365,16.91868687708237,11.18918873362709,31.00604214470363,31.00604214470363,34.309054291584,1,256
random_hub_m8,8,Dynamic CVaR cost a=0.5,g,30.0,30.0,24.270501856544723,26.696987853119634,26.696987853119634,30.0,1,256
random_hub_m8,8,Proposed dynamic CVaR regret a=0.5,g,26.631020005826073,30.0,24.270501856544723,26.696987853119634,26.696987853119634,30.0,1,256
random_hub_m8,9,Worst absolute cost,g,30.0,30.0,24.26556406242699,27.2701828207479,27.2701828207479,30.0,1,256
random_hub_m8,9,Minimax regret,g,27.2701828207479,30.0,24.26556406242699,27.2701828207479,27.2701828207479,30.0,1,256
random_hub_m8,9,Expected cost / regret,u1,18.500993940766904,18.500993940766904,12.766558003193893,31.542532380586877,31.542532380586877,34.27234955983898,1,256
random_hub_m8,9,Dynamic CVaR cost a=0.5,g,30.0,30.0,24.26556406242699,27.2701828207479,27.2701828207479,30.0,1,256
random_hub_m8,9,Proposed dynamic CVaR regret a=0.5,g,27.204888525757227,30.0,24.26556406242699,27.2701828207479,27.2701828207479,30.0,1,256
intel_map_scLTL,0,Worst absolute cost,bl,25.882819148330952,25.88281914833096,3.8018841514703317,6.360811250144799,6.360811250144799,25.88281914833096,1,32
intel_map_scLTL,0,Minimax regret,bl,6.360811250144792,25.88281914833096,3.8018841514703317,6.360811250144799,6.360811250144799,25.88281914833096,1,32
intel_map_scLTL,0,Expected cost / regret,d0,25.49293041018829,25.492930410188293,3.4119954133276647,6.78291306211209,6.78291306211209,28.282819148330958,1,32
intel_map_scLTL,0,Dynamic CVaR cost a=0.5,bl,25.882819148330952,25.88281914833096,3.8018841514703317,6.360811250144799,6.360811250144799,25.88281914833096,1,32
intel_map_scLTL,0,Proposed dynamic CVaR regret a=0.5,d0,5.644776892872176,25.858152352276782,3.7772173554161546,6.406562630430727,6.406562630430727,28.282819148330958,1,32
